age,sex,race,region,educ,exper,earnings,weeks,hours
30,1,1,1,12,12,30000,52,40
44,2,1,2,12,26,11500,30,50
49,2,1,2,11,31,26000,52,43
37,2,3,4,5.5,19,3080,48,40
30,1,1,4,2.5,12,19000,30,40
50,1,1,2,16,28,404469,52,40
50,1,1,1,16,28,35000,52,40
50,2,1,4,9,32,16000,52,25
42,1,1,4,2.5,24,28888,52,40
29,1,1,4,12,11,35000,52,40
47,2,1,3,16,25,17000,52,40
38,1,1,4,12,20,12000,26,40
44,1,1,3,2.5,26,53000,52,40
45,1,1,4,12,27,65000,48,50
46,2,1,3,12,28,12000,52,40
48,2,1,2,14,28,51000,52,50
26,1,1,2,11,8,49900,52,50
40,1,1,4,14,20,29000,52,40
27,1,1,4,12,9,15000,52,30
39,1,1,4,5.5,21,28000,52,40
48,2,1,4,5.5,30,18000,52,40
45,2,1,2,12,27,26000,52,40
39,1,1,2,14,19,120000,52,40
35,1,1,2,12,17,46000,52,40
30,1,2,3,12,12,24000,52,45
